iter	Passed	Remaining
729	2816	1041
730	2819	1037
731	2822	1033
732	2826	1029
733	2829	1025
734	2833	1021
735	2836	1017
736	2840	1013
737	2843	1009
738	2847	1005
739	2851	1001
740	2855	997
741	2859	994
742	2864	990
743	2867	986
744	2871	982
745	2874	978
746	2878	974
747	2881	970
748	2884	966
749	2887	962
750	2891	958
751	2895	954
752	2898	950
753	2902	946
754	2905	942
755	2909	939
756	2912	935
757	2916	931
758	2919	927
759	2923	923
760	2927	919
761	2930	915
762	2934	911
763	2938	907
764	2941	903
765	2945	899
766	2948	895
767	2951	891
768	2955	887
769	2958	883
770	2962	879
771	2965	875
772	2968	871
773	2972	867
774	2975	863
775	2979	859
776	2982	855
777	2985	851
778	2989	847
779	2992	844
780	2995	840
781	2999	836
782	3002	832
783	3006	828
784	3009	824
785	3012	820
786	3015	816
787	3019	812
788	3022	808
789	3025	804
790	3029	800
791	3032	796
792	3035	792
793	3039	788
794	3042	784
795	3045	780
796	3048	776
797	3052	772
798	3055	768
799	3058	764
800	3062	760
801	3065	756
802	3069	753
803	3073	749
804	3076	745
805	3079	741
806	3082	737
807	3086	733
808	3090	729
809	3093	725
810	3097	721
811	3100	717
812	3104	714
813	3107	710
814	3111	706
815	3114	702
816	3118	698
817	3121	694
818	3125	690
819	3128	686
820	3131	682
821	3135	679
822	3139	675
823	3142	671
824	3145	667
825	3149	663
826	3152	659
827	3155	655
828	3159	651
829	3162	647
830	3166	643
831	3169	640
832	3172	636
833	3176	632
834	3179	628
835	3183	624
836	3187	620
837	3190	616
838	3194	612
839	3197	609
840	3201	605
841	3204	601
842	3208	597
843	3211	593
844	3215	589
845	3219	586
846	3222	582
847	3226	578
848	3229	574
849	3233	570
850	3236	566
851	3239	562
852	3243	558
853	3247	555
854	3250	551
855	3254	547
856	3257	543
857	3260	539
858	3263	535
859	3267	531
860	3270	528
861	3274	524
862	3278	520
863	3282	516
864	3286	512
865	3289	509
866	3293	505
867	3296	501
868	3300	497
869	3303	493
870	3307	489
871	3310	485
872	3314	482
873	3317	478
874	3321	474
875	3324	470
876	3328	466
877	3332	463
878	3335	459
879	3339	455
880	3343	451
881	3346	447
882	3350	443
883	3353	440
884	3357	436
885	3361	432
886	3364	428
887	3368	424
888	3371	420
889	3375	417
890	3378	413
891	3382	409
892	3386	405
893	3389	401
894	3393	398
895	3397	394
896	3400	390
897	3403	386
898	3407	382
899	3411	379
900	3414	375
901	3418	371
902	3421	367
903	3424	363
904	3428	359
905	3431	356
906	3435	352
907	3438	348
908	3442	344
909	3446	340
910	3449	336
911	3453	333
912	3456	329
913	3460	325
914	3463	321
915	3467	317
916	3471	314
917	3475	310
918	3479	306
919	3482	302
920	3486	299
921	3490	295
922	3493	291
923	3496	287
924	3500	283
925	3505	280
926	3508	276
927	3512	272
928	3516	268
929	3520	264
930	3523	261
931	3527	257
932	3531	253
933	3535	249
934	3538	246
935	3542	242
936	3545	238
937	3549	234
938	3552	230
939	3556	227
940	3560	223
941	3563	219
942	3567	215
943	3571	211
944	3575	208
945	3579	204
946	3582	200
947	3585	196
948	3589	192
949	3592	189
950	3596	185
951	3599	181
952	3603	177
953	3606	173
954	3609	170
955	3613	166
956	3616	162
957	3620	158
958	3623	154
959	3627	151
960	3630	147
961	3634	143
962	3637	139
963	3641	135
964	3644	132
965	3648	128
966	3652	124
967	3655	120
968	3659	117
969	3663	113
970	3666	109
971	3670	105
972	3673	101
973	3677	98
974	3680	94
975	3684	90
976	3687	86
977	3691	83
978	3694	79
979	3698	75
980	3702	71
981	3706	67
982	3709	64
983	3712	60
984	3716	56
985	3719	52
986	3722	49
987	3726	45
988	3729	41
989	3732	37
990	3736	33
991	3739	30
992	3742	26
993	3745	22
994	3749	18
995	3753	15
996	3756	11
997	3760	7
998	3763	3
999	3767	0
